alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
1.0,1628.0,3.78,4.0,60.9,14.4,16.88,65.25,43.22
2.2,9223.0,5.51,45.0,77.9,32.3,10.85,21.28,106.33
0.9,12588.0,5.6,12.5,73.8,25.1,13.94,33.64,15.05
1.4,7521.0,4.36,2.8,56.7,16.0,13.2,33.79,18.74
2.9,18980.0,6.47,45.0,75.7,28.9,12.6,16.86,15.02
2.7,8331.0,4.32,25.0,73.2,31.2,10.67,37.53,103.49
4.2,45400.0,7.2,76.0,82.1,36.1,17.58,10.62,2.86
4.2,40288.0,7.4,75.2,80.5,40.8,14.31,15.15,101.34
3.1,16154.0,4.91,46.0,69.5,27.2,9.88,23.05,111.77
0.9,34058.0,5.03,55.0,78.7,29.0,14.12,65.63,1546.06
1.5,2599.0,4.72,3.7,68.6,22.2,11.84,70.76,1139.98
3.7,17172.0,5.75,31.8,71.1,38.1,11.89,23.32,47.94
3.6,37739.0,6.94,75.0,80.0,40.0,13.67,16.01,359.25
0.9,1855.0,3.19,3.1,58.4,16.8,11.65,32.39,83.77
1.9,5142.0,6.02,22.4,66.2,21.2,14.52,29.57,9.44
2.4,8982.0,4.77,42.8,77.1,37.5,10.92,32.3,74.44
2.6,12545.0,4.84,6.0,60.0,21.1,11.34,25.72,3.69
4.2,14216.0,6.66,40.7,73.2,28.2,16.86,15.96,23.49
2.6,14686.0,4.22,46.2,73.8,41.0,10.56,22.76,69.94
0.8,1326.0,3.96,2.4,56.5,16.0,11.61,37.49,58.91
1.7,718.0,3.71,1.0,57.1,16.5,12.88,38.38,355.4
1.2,2427.0,3.9,1.3,67.7,22.1,12.43,31.34,81.37
1.0,2420.0,4.24,4.3,56.6,16.8,11.67,59.29,42.05
4.4,41209.0,7.42,80.3,81.3,38.7,13.38,8.38,3.79
1.5,910.0,3.68,2.0,49.3,15.7,14.22,51.53,7.48
0.8,1720.0,4.03,1.7,49.6,14.6,12.59,56.59,9.45
4.0,18910.0,6.6,45.0,78.5,31.6,14.14,25.89,22.87
1.8,9658.0,5.09,34.3,75.6,34.1,10.72,69.48,143.6
3.0,11192.0,6.37,36.5,75.0,26.4,10.83,21.5,40.39
1.6,1433.0,3.96,5.1,61.1,17.5,11.69,20.67,352.52
1.6,5738.0,3.92,5.0,61.7,18.7,12.97,42.01,13.0
2.5,12032.0,7.27,36.5,78.7,28.1,12.15,19.27,90.53
0.9,2555.0,3.74,2.7,55.0,16.7,10.95,21.62,66.42
3.1,19511.0,6.03,56.5,76.8,40.8,10.86,21.33,78.07
2.4,27630.0,6.18,53.0,79.7,32.9,14.35,20.08,122.26
3.6,25922.0,6.33,68.8,77.6,38.7,10.42,20.68,135.56
1.3,637.0,4.64,0.7,56.4,15.7,13.79,41.4,29.29
4.2,42932.0,7.52,88.7,79.2,39.6,12.71,11.93,138.77
1.8,2544.0,4.37,6.5,60.3,20.8,11.64,38.24,39.66
2.0,11276.0,4.75,31.4,72.1,23.9,14.44,16.87,202.35
1.8,9327.0,5.96,29.0,75.4,23.8,13.8,19.98,60.35
0.7,10719.0,4.2,21.6,69.7,22.4,13.88,77.45,87.65
4.1,7351.0,5.93,15.9,71.8,22.7,12.62,30.46,295.08
3.6,20713.0,5.36,74.1,75.7,39.3,11.51,8.52,31.15
3.0,7193.0,4.87,11.0,46.6,18.4,11.51,18.13,63.95
2.9,1106.0,4.56,0.8,59.7,16.1,12.64,35.63,79.07
3.6,37615.0,7.42,86.9,80.0,41.0,13.91,7.19,17.65
3.5,36087.0,6.65,77.3,81.4,39.1,15.32,14.85,114.04
1.6,14927.0,3.97,13.0,63.9,20.1,12.86,40.28,6.64
0.8,1773.0,4.12,9.2,60.7,15.9,12.65,30.2,191.43
2.7,8443.0,4.25,26.9,72.1,34.6,10.5,26.1,55.21
3.3,41110.0,6.7,82.0,80.1,43.2,13.79,15.19,232.76
1.0,2946.0,5.06,7.8,61.2,19.2,11.26,27.37,112.4
2.5,26517.0,5.1,44.4,80.5,40.5,15.94,19.06,85.6
4.0,6526.0,5.86,10.5,70.9,18.7,12.92,29.98,135.71
0.7,1292.0,3.65,1.0,56.7,16.3,11.75,21.97,41.8
2.2,1557.0,4.41,8.4,46.0,20.4,14.71,17.8,357.14
2.9,4306.0,4.6,11.1,71.1,19.6,12.2,26.88,75.53
3.2,20036.0,4.68,65.0,74.5,38.9,10.61,19.14,109.43
3.2,36273.0,7.59,93.4,81.7,33.9,13.23,7.86,3.16
1.8,4526.0,4.72,7.5,66.9,24.0,13.64,95.76,417.27
0.9,8386.0,5.37,10.9,68.7,26.7,10.36,18.17,129.97
1.1,17751.0,4.61,15.9,73.1,26.4,18.34,38.65,46.46
0.8,10274.0,4.66,2.5,67.1,18.0,13.88,68.71,72.02
4.9,48624.0,6.96,69.8,80.5,33.3,16.12,9.98,65.68
1.8,28576.0,7.11,67.5,81.7,28.4,13.74,24.02,338.65
2.9,34766.0,5.84,53.7,82.1,42.5,13.74,19.03,202.3
2.2,7026.0,5.71,27.7,72.6,25.4,13.2,16.09,252.44
1.4,35011.0,5.97,78.2,82.9,44.2,9.86,14.14,351.46
0.8,11601.0,5.13,27.2,74.0,20.4,14.23,33.55,78.06
4.8,19965.0,5.76,31.6,68.1,28.0,10.03,15.91,6.16
1.0,2580.0,4.55,7.2,60.6,17.0,12.19,28.15,72.95
0.9,68865.0,6.22,61.4,78.0,28.6,12.82,62.74,165.17
3.9,3978.0,5.21,16.3,68.3,22.6,10.86,27.27,28.59
1.3,4114.0,4.88,7.0,64.0,20.2,11.82,31.73,27.4
3.5,17140.0,5.13,68.4,73.0,40.3,11.77,17.12,33.77
1.1,15622.0,4.57,43.7,78.2,27.1,16.34,30.89,488.35
2.8,2314.0,4.9,3.9,45.6,20.0,12.79,32.24,66.63
0.9,854.0,4.57,2.3,59.4,17.3,12.7,15.25,41.74
1.2,29157.0,5.75,14.0,72.4,24.3,14.2,50.15,3.69
2.9,18664.0,5.77,62.1,73.4,40.0,12.62,14.97,50.13
3.8,54086.0,6.96,90.6,80.6,38.0,13.57,12.96,196.96
1.6,1350.0,3.55,1.7,62.9,17.0,12.69,22.66,37.35
1.8,1092.0,4.28,2.3,56.4,15.6,12.14,25.7,156.11
1.1,18574.0,5.91,56.3,74.4,25.1,11.42,18.59,87.41
0.7,1505.0,4.31,2.0,56.4,15.3,10.27,36.4,12.73
2.9,23633.0,5.96,63.0,81.8,39.2,14.19,16.45,1308.62
0.8,2983.0,4.67,4.0,63.1,17.0,10.21,39.64,3.32
1.9,16269.0,5.48,28.3,74.0,31.6,11.81,15.19,632.19
2.0,14697.0,7.32,31.0,74.2,24.9,11.6,26.37,57.89
2.7,4615.0,6.0,32.3,69.4,33.2,12.24,19.12,111.85
4.7,7830.0,4.89,10.2,67.2,24.4,10.72,43.3,1.74
2.6,14510.0,5.22,37.5,76.1,35.2,10.91,25.06,46.92
0.9,6932.0,4.97,52.0,70.8,24.9,15.23,29.65,72.74
1.9,957.0,4.97,4.2,54.2,16.0,13.21,23.56,29.34
1.3,3773.0,4.44,0.3,63.3,25.7,10.94,44.06,75.68
2.9,7906.0,4.57,11.6,56.0,19.3,10.65,27.66,2.55
1.6,2152.0,4.23,7.9,66.8,20.2,13.85,100.78,189.48
2.6,43812.0,7.47,90.7,80.8,39.8,14.67,15.23,493.53
