Year,Country,alcoholdrug,demography,gdp,happiness,internet,landarea,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity,suicides
2013,Afghanistan,1.0,31541216.0,2025.0,3.98,5.9,652860.0,62.4,15.2,16.65,61.37,48.36,1293.0
2013,Albania,2.2,2887019.0,9660.0,4.61,51.8,27400.0,78.1,33.8,10.84,19.94,105.37,153.0
2013,Algeria,0.9,38000628.0,13494.0,5.34,22.5,2381741.0,74.6,26.0,13.94,34.25,15.95,1086.0
2013,Angola,1.4,26147012.0,8508.0,3.79,13.0,1246700.0,59.3,16.0,13.14,34.66,20.97,1801.0
2013,Argentina,2.9,42388268.0,19873.0,6.7,59.9,2736690.0,76.5,29.5,12.62,15.6,15.49,3611.0
2013,Armenia,2.5,2901386.0,9385.0,4.35,41.9,28470.0,73.7,31.8,10.66,34.94,101.91,184.0
2013,Australia,4.2,23111788.0,47250.0,7.31,83.5,7692020.0,82.6,36.2,17.48,9.99,3.0,2677.0
2013,Austria,4.0,8479542.0,41375.0,7.08,80.6,82520.0,81.1,41.8,14.36,14.08,102.76,1388.0
2013,Azerbaijan,3.0,9614478.0,17133.0,5.15,73.0,82654.0,70.9,28.1,9.81,22.28,116.33,401.0
2013,Bahrain,0.9,1261683.0,38493.0,6.01,90.0,780.0,79.2,29.6,14.03,67.79,1607.24,93.0
2013,Bangladesh,1.4,154030140.0,3057.0,4.63,6.6,130170.0,69.6,23.3,11.67,65.65,1183.3,5344.0
2013,Belarus,3.7,9691143.0,18464.0,5.72,54.2,202980.0,73.0,38.5,11.77,20.59,47.74,2626.0
2013,Belgium,3.6,11103260.0,37737.0,6.9,82.2,30280.0,80.5,40.3,13.67,14.02,366.69,2177.0
2013,Benin,0.9,10308730.0,1939.0,3.62,4.9,112760.0,59.0,17.1,11.65,31.44,91.42,830.0
2013,Bolivia,1.9,10743352.0,5789.0,5.83,37.0,1083300.0,67.0,22.0,14.51,26.09,9.92,634.0
2013,Bosnia and Herzegovina,2.5,3617564.0,9093.0,5.12,48.5,51200.0,76.3,38.8,10.83,30.45,70.66,376.0
