Country,2010
Afghanistan,3.78
Albania,5.51
Algeria,5.60
Angola,4.36
Argentina,6.47
Armenia,4.32
Australia,7.20
Austria,7.40
Azerbaijan,4.91
Bahrain,5.03
Bangladesh,4.72
Belarus,5.75
Belgium,6.94
Belize,5.96
Benin,3.19
Bhutan,5.57
Bolivia,6.02
Bosnia and Herzegovina,4.77
Botswana,4.84
Brazil,6.66
Bulgaria,4.22
Burkina Faso,3.96
Burundi,3.71
Cambodia,3.90
Cameroon,4.24
Canada,7.42
Central African Republic,3.68
Chad,4.03
Chile,6.60
China,5.09
Colombia,6.37
Comoros,3.96
Congo,3.92
Costa Rica,7.27
Cote d'Ivoire,3.74
Croatia,6.03
Cuba,
Cyprus,6.18
Czechia,6.33
Democratic Republic of Congo,4.64
Denmark,7.52
Djibouti,4.37
Dominican Republic,4.75
Ecuador,5.96
Egypt,4.20
El Salvador,5.93
Estonia,5.36
Eswatini,4.87
Ethiopia,4.56
Finland,7.42
France,6.65
Gabon,3.97
Gambia,4.12
Georgia,4.25
Germany,6.70
Ghana,5.06
Greece,5.10
Guatemala,5.86
Guinea,3.65
Guyana,5.99
Haiti,4.41
Honduras,4.60
Hong Kong,5.48
Hungary,4.68
Iceland,7.59
India,4.72
Indonesia,5.37
Iran,4.61
Iraq,4.66
Ireland,6.96
Israel,7.11
Italy,5.84
Jamaica,5.71
Japan,5.97
Jordan,5.13
Kazakhstan,5.76
Kenya,4.55
Kosovo,5.64
Kuwait,6.22
Kyrgyzstan,5.21
Laos,4.88
Latvia,5.13
Lebanon,4.57
Lesotho,4.90
Liberia,4.57
Libya,5.75
Lithuania,5.77
Luxembourg,6.96
Madagascar,3.55
Malawi,4.28
Malaysia,5.91
Maldives,
Mali,4.31
Malta,5.96
Mauritania,4.67
Mauritius,5.48
Mexico,7.32
Moldova,6.00
Mongolia,4.89
Montenegro,5.22
Morocco,4.97
Mozambique,4.97
Myanmar,4.44
Namibia,4.57
Nepal,4.23
Netherlands,7.47
New Zealand,7.25
Nicaragua,5.45
Niger,3.80
Nigeria,5.49
North Macedonia,4.64
Norway,7.68
Oman,6.85
Pakistan,5.13
Palestine,4.65
Panama,6.86
Paraguay,5.82
Peru,5.82
Philippines,5.00
Poland,5.88
Portugal,4.99
Qatar,6.61
Romania,5.17
Russia,5.62
Rwanda,3.33
Saudi Arabia,6.40
Senegal,3.67
Serbia,5.15
Sierra Leone,4.51
Singapore,6.53
Slovakia,5.91
Slovenia,6.06
Somalia,5.53
South Africa,5.13
South Korea,6.00
South Sudan,3.83
Spain,6.29
Sri Lanka,4.22
Sudan,4.55
Suriname,6.27
Sweden,7.56
Switzerland,7.78
Syria,3.16
Taiwan,6.13
Tajikistan,4.50
Tanzania,4.01
Thailand,6.30
Togo,2.94
Trinidad and Tobago,6.17
Tunisia,4.46
Turkey,5.31
Turkmenistan,5.46
Uganda,4.31
Ukraine,5.03
United Arab Emirates,7.22
United Kingdom,6.88
United States,7.03
Uruguay,6.45
Uzbekistan,6.02
Venezuela,7.07
Vietnam,5.53
Yemen,4.06
Zambia,5.01
Zimbabwe,4.96
Northern Cyprus,5.46
Somaliland region,5.06
