Country,2011
Afghanistan,44.84
Albania,105.86
Algeria,15.34
American Samoa,271.67
Andorra,150.19
Angola,19.46
Anguilla,148.48
Antigua and Barbuda,197.16
Argentina,15.17
Armenia,102.88
Aruba,562.8
Australia,2.91
Austria,101.69
Azerbaijan,113.24
Bahamas,37.76
Bahrain,1544.06
Bangladesh,1153.96
Barbados,640.7
Belarus,47.82
Belgium,361.81
Belize,14.45
Benin,86.26
Bermuda,1176.93
Bhutan,18.7
Bolivia,9.6
Bonaire Sint Eustatius and Saba,64.9
Bosnia and Herzegovina,73.11
Botswana,3.77
Brazil,23.71
British Virgin Islands,186.56
Brunei,76.19
Bulgaria,69.48
Burkina Faso,60.68
Burundi,368.21
Cambodia,82.56
Cameroon,43.26
Canada,3.83
Cape Verde,130.9
Cayman Islands,231.3
Central African Republic,7.6
Chad,9.78
Chile,23.1
China,144.55
Colombia,40.84
Comoros,360.07
Congo,13.42
Cook Islands,74.15
Costa Rica,91.66
Cote d'Ivoire,67.81
Croatia,77.77
Cuba,108.85
Curacao,364.15
Cyprus,123.93
Czechia,135.97
Czechoslovakia,
Democratic Republic of Congo,30.28
Denmark,139.4
Djibouti,40.41
Dominica,91.68
Dominican Republic,205.0
Ecuador,61.35
Egypt,89.61
El Salvador,296.2
Equatorial Guinea,40.81
Eritrea,26.5
Eritrea and Ethiopia,
Estonia,31.05
Eswatini,64.27
Ethiopia,81.36
Faeroe Islands,35.44
Falkland Islands,0.26
Fiji,49.72
Finland,17.73
France,114.65
French Guiana,2.82
French Polynesia,82.19
Gabon,6.88
Gambia,197.45
Georgia,55.0
Germany,233.04
Ghana,115.17
Gibraltar,3172.5
Greece,85.37
Greenland,0.14
Grenada,338.04
Guadeloupe,248.86
Guam,306.78
Guatemala,138.42
Guinea,42.84
Guinea-Bissau,57.22
Guyana,3.78
Haiti,361.19
Honduras,77.06
Hong Kong,6833.69
Hungary,109.06
Iceland,3.17
India,422.99
Indonesia,131.61
Iran,47.05
Iraq,74.58
Ireland,65.97
Isle of Man,148.0
Israel,344.72
Italy,202.98
Jamaica,253.57
Japan,351.19
Jordan,80.07
Kazakhstan,6.25
Kenya,74.91
Kiribati,135.66
Kuwait,176.42
Kyrgyzstan,28.95
Laos,27.8
Latvia,33.38
Lebanon,493.16
Lesotho,67.12
Liberia,43.41
Libya,3.52
Liechtenstein,226.33
Lithuania,49.5
Luxembourg,201.29
Macao,17356.05
Madagascar,38.41
Malawi,160.65
Malaysia,88.83
Maldives,1248.17
Mali,13.15
Malta,1323.68
Marshall Islands,294.39
Martinique,367.57
Mauritania,3.42
Mauritius,633.62
Mayotte,581.26
Mexico,58.72
Micronesia (country),154.14
Moldova,109.33
Monaco,16759.25
Mongolia,1.76
Montenegro,46.97
Montserrat,49.89
Morocco,73.73
Mozambique,30.21
Myanmar,76.29
Namibia,2.59
Nauru,515.15
Nepal,190.21
Netherlands,496.03
New Caledonia,14.57
New Zealand,16.64
Nicaragua,49.38
Niger,13.64
Nigeria,181.67
Niue,7.05
North Korea,205.83
North Macedonia,83.15
Northern Mariana Islands,114.22
Norway,13.6
Oman,10.36
Pakistan,257.63
Palau,39.7
Palestine,679.03
Panama,49.73
Papua New Guinea,17.24
Paraguay,14.71
Peru,23.03
Philippines,323.1
Poland,126.16
Portugal,115.33
Puerto Rico,416.19
Qatar,157.02
Reunion,357.23
Romania,87.88
Russia,8.75
Rwanda,428.74
Saint Helena,13.79
Saint Kitts and Nevis,183.1
Saint Lucia,282.22
Saint Martin (French part),727.4
Saint Pierre and Miquelon,26.37
Saint Vincent and the Grenadines,278.77
Samoa,70.63
San Marino,541.97
Sao Tome and Principe,193.81
Saudi Arabia,14.03
Senegal,66.88
Serbia,87.14
Serbia and Montenegro,
Seychelles,204.0
Sierra Leone,91.61
Singapore,7355.64
Sint Maarten (Dutch part),980.47
Slovakia,112.37
Slovenia,102.57
Solomon Islands,19.78
Somalia,19.47
South Africa,43.23
South Korea,503.79
South Sudan,16.21
Spain,93.54
Sri Lanka,337.21
Sudan,18.43
Suriname,3.54
Sweden,23.25
Switzerland,200.2
Syria,123.79
Taiwan,653.57
Tajikistan,56.09
Tanzania,52.4
Thailand,134.5
Timor,74.85
Togo,124.08
Tokelau,140.6
Tonga,149.48
Trinidad and Tobago,276.81
Tunisia,71.01
Turkey,96.38
Turkmenistan,11.41
Turks and Caicos Islands,32.46
Tuvalu,357.3
USSR,
Uganda,166.05
Ukraine,78.56
United Arab Emirates,120.74
United Kingdom,261.59
United States,34.31
United States Virgin Islands,301.4
Uruguay,19.21
Uzbekistan,65.94
Vanuatu,20.62
Vatican,
Venezuela,32.99
Vietnam,281.88
Wallis and Futuna,92.33
Western Sahara,1.61
Yemen,48.25
Yugoslavia,
Zambia,19.19
Zimbabwe,33.67
Africa,36.18
Asia,137.29
Europe,33.36
European Union (27),110.3
High-income countries,33.25
Low-income countries,35.76
Lower-middle-income countries,115.66
North America,25.88
Oceania,4.44
South America,22.74
Upper-middle-income countries,44.51
World,54.28
