Country, 2014
Afghanistan,7.0
Albania,54.3
Algeria,29.5
American Samoa,
Andorra,86.1
Angola,21.4
Antigua and Barbuda,67.8
Argentina,64.7
Armenia,54.6
Aruba,83.8
Australia,84.0
Austria,81.0
Azerbaijan,75.0
Bahamas,76.9
Bahrain,90.5
Bangladesh,11.9
Barbados,75.2
Belarus,59.0
Belgium,85.0
Belize,38.7
Benin,6.0
Bermuda,96.8
Bhutan,30.3
Bolivia,34.6
Bosnia and Herzegovina,49.9
Botswana,36.7
Brazil,54.6
British Virgin Islands,77.7
Brunei,68.8
Bulgaria,55.5
Burkina Faso,6.0
Burundi,1.4
Cambodia,14.0
Cameroon,16.2
Canada,87.1
Cape Verde,40.3
Cayman Islands,74.1
Central African Republic,2.7
Chad,2.9
Chile,61.1
China,47.9
Colombia,52.6
Comoros,7.0
Congo,7.1
Costa Rica,53.0
Cote d'Ivoire,10.0
Croatia,68.6
Cuba,29.1
Curacao,61.9
Cyprus,69.3
Czechia,74.2
Democratic Republic of Congo,3.0
Denmark,96.0
Djibouti,17.0
Dominica,57.5
Dominican Republic,49.6
Ecuador,45.6
Egypt,33.9
El Salvador,24.8
Equatorial Guinea,18.9
Eritrea,1.0
Estonia,84.2
Eswatini,25.0
Ethiopia,7.7
Faeroe Islands,93.3
Fiji,37.4
Finland,86.5
France,83.8
French Polynesia,60.7
Gabon,38.1
Gambia,15.6
Georgia,44.0
Germany,86.2
Ghana,19.0
Gibraltar,94.4
Greece,63.2
Greenland,66.7
Grenada,51.6
Guam,69.3
Guatemala,23.4
Guinea,6.4
Guinea-Bissau,3.3
Guyana,32.0
Haiti,11.4
Honduras,23.0
Hong Kong,79.9
Hungary,75.7
Iceland,98.2
India,13.5
Indonesia,17.1
Iran,39.3
Iraq,13.2
Ireland,83.5
Israel,75.0
Italy,55.6
Jamaica,40.4
Japan,89.1
Jordan,46.2
Kazakhstan,66.0
Kenya,16.5
Kiribati,12.3
Kosovo,83.9
Kuwait,78.7
Kyrgyzstan,28.3
Laos,14.3
Latvia,75.8
Lebanon,73.0
Lesotho,22.0
Liberia,5.4
Libya,17.8
Liechtenstein,95.2
Lithuania,72.1
Luxembourg,94.7
Macao,69.8
Madagascar,3.7
Malawi,5.8
Malaysia,63.7
Maldives,49.3
Mali,7.0
Malta,73.2
Marshall Islands,16.8
Mauritania,11.8
Mauritius,44.8
Mexico,44.4
Micronesia (country),29.6
Moldova,67.0
Monaco,92.4
Mongolia,19.9
Montenegro,61.0
Morocco,56.8
Mozambique,6.0
Myanmar,7.4
Namibia,14.8
Nauru,62.4
Nepal,15.4
Netherlands,91.7
New Caledonia,70.0
New Zealand,84.0
Nicaragua,17.6
Niger,1.2
Nigeria,21.0
North Korea,0.0
North Macedonia,68.1
Northern Mariana Islands,
Norway,96.3
Oman,70.2
Pakistan,10.0
Palau,
Palestine,53.7
Panama,44.9
Papua New Guinea,6.5
Paraguay,43.0
Peru,40.2
Philippines,34.7
Poland,66.6
Portugal,64.6
Puerto Rico,69.0
Qatar,91.5
Romania,54.1
Russia,70.5
Rwanda,10.6
Saint Kitts and Nevis,68.0
Saint Lucia,39.7
Saint Vincent and the Grenadines,47.4
Samoa,21.2
San Marino,60.2
Sao Tome and Principe,24.4
Saudi Arabia,64.7
Senegal,17.7
Serbia,62.1
Seychelles,51.3
Sierra Leone,6.1
Singapore,82.1
Slovakia,80.0
Slovenia,71.6
Solomon Islands,9.0
Somalia,1.6
South Africa,49.0
South Korea,87.6
South Sudan,2.6
Spain,76.2
Sri Lanka,10.5
Sudan,14.1
Suriname,40.1
Sweden,92.5
Switzerland,87.4
Syria,28.1
Tajikistan,17.5
Tanzania,7.0
Thailand,34.9
Timor,17.5
Togo,5.7
Tonga,36.0
Trinidad and Tobago,62.4
Tunisia,46.2
Turkey,51.0
Turkmenistan,12.2
Turks and Caicos Islands,
Tuvalu,24.1
Uganda,5.4
Ukraine,46.2
United Arab Emirates,90.4
United Kingdom,91.6
United States,73.0
United States Virgin Islands,50.1
Uruguay,61.5
Uzbekistan,35.5
Vanuatu,18.8
Venezuela,57.0
Vietnam,41.0
Yemen,22.5
Zambia,6.5
Zimbabwe,16.4
East Asia and Pacific,46.1
Europe and Central Asia,69.0
European Union,75.2
High income,78.5
Latin America and Caribbean,48.8
Low and middle income,30.0
Low income,7.0
Lower middle income,18.3
Middle East and North Africa,40.4
Middle income,32.2
North America,74.4
South Asia,12.8
Sub-Saharan Africa,13.4
Upper middle income,49.4
World,38.1
