Country, 2015
Afghanistan,15.70
Albania,34.70
Algeria,26.50
American Samoa,23.60
Andorra,39.80
Angola,16.00
Anguilla,33.60
Antigua and Barbuda,32.10
Argentina,29.90
Armenia,32.30
Aruba,39.10
Australia,36.30
Austria,42.00
Azerbaijan,28.80
Bahamas,30.30
Bahrain,29.90
Bangladesh,24.00
Barbados,37.20
Belarus,38.80
Belgium,40.50
Belize,22.80
Benin,17.20
Bermuda,42.30
Bhutan,24.90
Bolivia,22.50
Bonaire Sint Eustatius and Saba,38.00
Bosnia and Herzegovina,39.50
Botswana,22.20
Brazil,30.30
British Virgin Islands,35.20
Brunei,28.90
Bulgaria,42.60
Burkina Faso,16.00
Burundi,15.60
Cambodia,24.20
Cameroon,17.10
Canada,39.60
Cape Verde,23.70
Cayman Islands,35.40
Central African Republic,14.50
Chad,14.70
Chile,33.30
China,35.60
Colombia,28.50
Comoros,18.60
Congo,18.10
Cook Islands,30.50
Costa Rica,30.20
Cote d'Ivoire,16.80
Croatia,42.20
Cuba,39.60
Curacao,37.70
Cyprus,34.90
Czechia,40.30
Democratic Republic of Congo,15.70
Denmark,40.60
Djibouti,22.10
Dominica,30.40
Dominican Republic,25.30
Ecuador,25.40
Egypt,23.10
El Salvador,24.00
Equatorial Guinea,20.50
Eritrea,17.30
Estonia,40.60
Eswatini,19.80
Ethiopia,17.20
Faeroe Islands,38.40
Falkland Islands,38.20
Fiji,25.30
Finland,41.50
France,40.40
French Guiana,23.70
French Polynesia,30.00
Gabon,21.10
Gambia,16.10
Georgia,36.00
Germany,44.70
Ghana,19.70
Gibraltar,39.60
Greece,42.40
Greenland,33.10
Grenada,28.50
Guadeloupe,40.30
Guam,29.00
Guatemala,20.10
Guernsey,42.10
Guinea,16.90
Guinea-Bissau,17.30
Guyana,23.90
Haiti,21.60
Honduras,21.30
Hong Kong,41.90
Hungary,40.70
Iceland,35.00
India,25.50
Indonesia,28.00
Iran,28.90
Iraq,18.60
Ireland,35.40
Isle of Man,43.40
Israel,28.80
Italy,44.40
Jamaica,27.80
Japan,45.90
Jersey,40.20
Jordan,21.40
Kazakhstan,28.60
Kenya,17.90
Kiribati,20.90
Kosovo,27.30
Kuwait,32.90
Kyrgyzstan,23.10
Laos,22.00
Latvia,42.10
Lebanon,28.80
Lesotho,21.00
Liberia,17.50
Libya,25.10
Liechtenstein,42.10
Lithuania,42.10
Luxembourg,38.30
Macao,36.00
Madagascar,17.90
Malawi,15.70
Malaysia,27.30
Maldives,26.80
Mali,14.80
Malta,39.20
Marshall Islands,21.20
Martinique,42.80
Mauritania,16.90
Mauritius,34.10
Mayotte,16.80
Mexico,26.70
Micronesia (country),21.60
Moldova,34.70
Monaco,52.90
Mongolia,25.80
Montenegro,36.50
Montserrat,38.50
Morocco,26.60
Mozambique,16.20
Myanmar,27.30
Namibia,20.40
Nauru,20.20
Nepal,21.50
Netherlands,41.20
New Caledonia,30.80
New Zealand,36.30
Nicaragua,22.50
Niger,14.40
Nigeria,16.70
Niue,35.00
North Korea,34.10
North Macedonia,36.10
Northern Mariana Islands,35.50
Norway,38.20
Oman,27.80
Pakistan,19.40
Palau,34.80
Palestine,18.30
Panama,27.20
Papua New Guinea,20.60
Paraguay,23.70
Peru,26.70
Philippines,23.00
Poland,38.70
Portugal,42.80
Puerto Rico,39.80
Qatar,30.20
Reunion,32.30
Romania,39.90
Russia,37.60
Rwanda,18.20
Saint Helena,45.80
Saint Kitts and Nevis,31.40
Saint Lucia,30.60
Saint Martin (French part),32.70
Saint Pierre and Miquelon,43.40
Saint Vincent and the Grenadines,30.70
Samoa,19.80
San Marino,43.50
Sao Tome and Principe,17.70
Saudi Arabia,28.30
Senegal,17.20
Serbia,41.70
Seychelles,30.80
Sierra Leone,17.70
Singapore,38.70
Sint Maarten (Dutch part),42.00
Slovakia,38.20
Slovenia,41.60
Solomon Islands,18.60
Somalia,14.90
South Africa,25.30
South Korea,39.90
South Sudan,17.20
Spain,41.50
Sri Lanka,30.80
Sudan,17.70
Suriname,26.80
Sweden,39.80
Switzerland,41.20
Syria,18.30
Taiwan,38.10
Tajikistan,20.60
Tanzania,16.40
Thailand,36.50
Timor,18.80
Togo,18.10
Tokelau,27.20
Tonga,20.70
Trinidad and Tobago,32.70
Tunisia,29.60
Turkey,28.80
Turkmenistan,24.40
Turks and Caicos Islands,35.20
Tuvalu,23.90
Uganda,14.60
Ukraine,39.10
United Arab Emirates,29.20
United Kingdom,39.00
United States,36.60
United States Virgin Islands,41.10
Uruguay,34.00
Uzbekistan,25.10
Vanuatu,19.40
Vatican,56.50
Venezuela,26.20
Vietnam,29.70
Wallis and Futuna,32.70
Western Sahara,28.70
Yemen,17.60
Zambia,16.00
Zimbabwe,17.00
Africa (UN),18.20
Asia (UN),29.10
Europe (UN),40.40
High-income countries,39.30
Land-locked Developing Countries (LLDC),18.50
Latin America and the Caribbean (UN),28.10
Least developed countries,18.40
Less developed regions,26.50
"Less developed regions, excluding China",24.00
"Less developed regions, excluding least developed countries",28.10
Low-income countries,16.90
Lower-middle-income countries,24.20
More developed regions,40.00
Northern America (UN),36.90
Oceania (UN),31.20
Saint Barthlemy,36.80
Small Island Developing States (SIDS),27.80
Upper-middle-income countries,32.90
World,28.50
