Country, 2016
Afghanistan,63.1
Albania,78.9
Algeria,75.7
American Samoa,72.4
Andorra,83.0
Angola,61.1
Anguilla,76.8
Antigua and Barbuda,78.2
Argentina,76.3
Armenia,74.7
Aruba,75.6
Australia,82.9
Austria,81.6
Azerbaijan,72.0
Bahamas,73.5
Bahrain,79.6
Bangladesh,71.1
Barbados,76.8
Belarus,74.3
Belgium,81.3
Belize,73.4
Benin,59.5
Bermuda,80.6
Bhutan,70.6
Bolivia,67.6
Bonaire Sint Eustatius and Saba,75.5
Bosnia and Herzegovina,76.8
Botswana,65.5
Brazil,74.4
British Virgin Islands,75.7
Brunei,74.7
Bulgaria,74.8
Burkina Faso,59.3
Burundi,60.8
Cambodia,70.2
Cameroon,60.2
Canada,82.0
Cape Verde,75.7
Cayman Islands,74.9
Central African Republic,53.5
Chad,52.1
Chile,80.1
China,77.2
Colombia,76.5
Comoros,63.2
Congo,63.6
Cook Islands,74.3
Costa Rica,79.5
Cote d'Ivoire,58.1
Croatia,78.2
Cuba,77.6
Curacao,76.0
Cyprus,81.1
Czechia,79.0
Democratic Republic of Congo,59.1
Denmark,80.9
Djibouti,62.2
Dominica,70.1
Dominican Republic,73.0
Ecuador,76.8
Egypt,70.8
El Salvador,72.0
Equatorial Guinea,60.5
Eritrea,66.3
Estonia,77.8
Eswatini,56.7
Ethiopia,64.4
Faeroe Islands,80.2
Falkland Islands,78.4
Fiji,67.2
Finland,81.3
France,82.4
French Guiana,76.7
French Polynesia,82.5
Gabon,65.8
Gambia,63.0
Georgia,73.6
Germany,80.8
Ghana,63.9
Gibraltar,81.7
Greece,81.2
Greenland,72.2
Grenada,74.8
Guadeloupe,82.6
Guam,76.9
Guatemala,72.4
Guernsey,82.6
Guinea,58.8
Guinea-Bissau,59.7
Guyana,68.4
Haiti,63.4
Honduras,72.6
Hong Kong,84.5
Hungary,76.2
Iceland,82.0
India,70.1
Indonesia,69.8
Iran,75.6
Iraq,69.0
Ireland,81.5
Isle of Man,80.3
Israel,82.5
Italy,83.0
Jamaica,72.0
Japan,84.1
Jersey,80.6
Jordan,75.2
Kazakhstan,70.9
Kenya,62.2
Kiribati,66.3
Kosovo,79.0
Kuwait,79.7
Kyrgyzstan,70.3
Laos,67.2
Latvia,74.8
Lebanon,79.5
Lesotho,52.3
Liberia,60.4
Libya,71.8
Liechtenstein,82.4
Lithuania,74.9
Luxembourg,82.1
Macao,84.2
Madagascar,65.0
Malawi,62.2
Malaysia,75.3
Maldives,79.9
Mali,58.7
Malta,83.1
Marshall Islands,64.1
Martinique,82.2
Mauritania,64.8
Mauritius,75.0
Mayotte,77.4
Mexico,74.4
Micronesia (country),71.6
Moldova,69.9
Monaco,85.7
Mongolia,69.9
Montenegro,76.7
Montserrat,75.1
Morocco,73.3
Mozambique,59.0
Myanmar,65.7
Namibia,61.7
Nauru,62.7
Nepal,68.8
Netherlands,81.5
New Caledonia,79.0
New Zealand,82.1
Nicaragua,73.3
Niger,61.6
Nigeria,52.0
Niue,70.3
North Korea,72.8
North Macedonia,76.0
Northern Mariana Islands,76.8
Norway,82.4
Oman,77.9
Pakistan,65.9
Palau,63.9
Palestine,74.6
Panama,77.7
Papua New Guinea,64.8
Paraguay,73.5
Peru,75.8
Philippines,71.4
Poland,77.8
Portugal,81.2
Puerto Rico,80.3
Qatar,80.4
Reunion,81.5
Romania,75.2
Russia,72.7
Rwanda,65.7
Saint Barthelemy,79.6
Saint Helena,75.8
Saint Kitts and Nevis,71.7
Saint Lucia,73.1
Saint Martin (French part),79.5
Saint Pierre and Miquelon,77.1
Saint Vincent and the Grenadines,74.3
Samoa,72.5
San Marino,83.0
Sao Tome and Principe,67.5
Saudi Arabia,77.1
Senegal,67.5
Serbia,76.3
Seychelles,73.6
Sierra Leone,58.4
Singapore,83.0
Sint Maarten (Dutch part),76.6
Slovakia,77.2
Slovenia,81.2
Solomon Islands,69.8
Somalia,55.0
South Africa,64.7
South Korea,82.9
South Sudan,55.5
Spain,83.0
Sri Lanka,75.3
Sudan,64.8
Suriname,71.6
Sweden,82.3
Switzerland,83.4
Syria,66.0
Taiwan,79.8
Tajikistan,69.5
Tanzania,65.4
Thailand,78.0
Timor,67.4
Togo,59.6
Tokelau,74.8
Tonga,70.7
Trinidad and Tobago,74.3
Tunisia,75.8
Turkey,76.7
Turkmenistan,68.8
Turks and Caicos Islands,76.9
Tuvalu,64.1
Uganda,61.6
Ukraine,74.3
United Arab Emirates,79.3
United Kingdom,81.1
United States,78.8
United States Virgin Islands,75.0
Uruguay,77.6
Uzbekistan,70.8
Vanuatu,69.6
Vatican,82.9
Venezuela,72.1
Vietnam,73.9
Wallis and Futuna,78.3
Western Sahara,69.6
Yemen,66.1
Zambia,61.8
Zimbabwe,60.3
Africa,61.6
Americas,76.3
Asia,73.4
Europe,78.4
High-income countries,80.8
Land-locked Developing Countries (LLDC),63.9
Latin America and the Caribbean,74.6
Least developed countries,63.8
Less developed regions,70.5
"Less developed regions, excluding China",68.6
"Less developed regions, excluding least developed countries",71.9
Low-income countries,62.1
Lower-middle-income countries,68.1
More developed regions,79.3
Northern America,79.2
Oceania,78.4
Small Island Developing States (SIDS),72.0
Upper-middle-income countries,75.7
World,72.1
