Country,2016
Afghanistan,16.53
Albania,10.82
Algeria,13.92
American Samoa,10.64
Andorra,14.03
Angola,13.12
Antigua and Barbuda,13.43
Argentina,12.64
Armenia,10.65
Australia,17.45
Austria,14.40
Azerbaijan,9.77
Bahamas,13.41
Bahrain,13.95
Bangladesh,11.54
Barbados,13.61
Belarus,11.72
Belgium,13.65
Belize,13.69
Benin,11.63
Bermuda,13.67
Bhutan,11.69
Bolivia,14.49
Bosnia and Herzegovina,10.77
Botswana,11.36
Brazil,15.91
Brunei,9.54
Bulgaria,10.42
Burkina Faso,11.74
Burundi,12.80
Cambodia,12.13
Cameroon,11.61
Canada,13.53
Cape Verde,11.63
Central African Republic,14.43
Chad,12.42
Chile,14.05
China,10.58
Colombia,11.05
Comoros,11.76
Congo,12.78
Cook Islands,11.03
Costa Rica,12.22
Cote d'Ivoire,11.00
Croatia,10.86
Cuba,14.31
Cyprus,14.41
Czechia,10.33
Democratic Republic of Congo,13.55
Denmark,12.71
Djibouti,11.59
Dominica,13.52
Dominican Republic,14.35
Ecuador,13.84
Egypt,13.94
El Salvador,12.59
Equatorial Guinea,12.91
Eritrea,12.56
Estonia,11.29
Eswatini,11.53
Ethiopia,12.30
Fiji,11.10
Finland,13.59
France,15.12
Gabon,12.88
Gambia,12.68
Georgia,10.39
Germany,13.80
Ghana,11.19
Greece,15.38
Greenland,16.25
Grenada,13.72
Guam,11.01
Guatemala,12.70
Guinea,11.70
Guinea-Bissau,11.57
Guyana,15.37
Haiti,14.79
Honduras,12.22
Hungary,10.53
Iceland,13.29
India,13.60
Indonesia,10.25
Iran,18.35
Iraq,14.29
Ireland,16.15
Israel,13.37
Italy,13.94
Jamaica,13.34
Japan,9.71
Jordan,14.12
Kazakhstan,9.97
Kenya,12.00
Kiribati,11.86
Kuwait,13.02
Kyrgyzstan,10.69
Laos,11.64
Latvia,11.69
Lebanon,16.18
Lesotho,12.80
Liberia,12.62
Libya,14.57
Lithuania,12.37
Luxembourg,13.53
Madagascar,12.70
Malawi,12.15
Malaysia,11.53
Maldives,10.65
Mali,10.35
Malta,14.23
Marshall Islands,11.43
Mauritania,10.28
Mauritius,11.45
Mexico,11.49
Micronesia (country),11.49
Moldova,12.04
Monaco,14.56
Mongolia,10.63
Montenegro,10.83
Morocco,15.07
Mozambique,13.11
Myanmar,10.63
Namibia,10.74
Nauru,11.33
Nepal,13.38
Netherlands,15.09
New Zealand,17.15
Nicaragua,12.56
Niger,11.44
Nigeria,10.58
Niue,11.19
North Korea,11.15
North Macedonia,10.58
Northern Mariana Islands,10.67
Norway,14.79
Oman,13.09
Pakistan,12.43
Palau,11.09
Palestine,17.34
Panama,11.47
Papua New Guinea,11.69
Paraguay,15.02
Peru,13.14
Philippines,11.53
Poland,9.64
Portugal,16.72
Puerto Rico,13.43
Qatar,12.74
Romania,10.40
Russia,10.54
Rwanda,12.71
Saint Kitts and Nevis,14.28
Saint Lucia,13.76
Saint Vincent and the Grenadines,13.79
Samoa,11.09
San Marino,14.50
Sao Tome and Principe,10.60
Saudi Arabia,13.04
Senegal,10.79
Serbia,10.65
Seychelles,10.28
Sierra Leone,12.17
Slovakia,10.45
Slovenia,10.77
Solomon Islands,11.91
Somalia,14.08
South Africa,11.60
South Sudan,13.02
Spain,17.00
Sri Lanka,10.90
Sudan,15.36
Suriname,14.87
Sweden,14.06
Switzerland,15.51
Syria,15.23
Taiwan,9.82
Tajikistan,10.50
Tanzania,12.29
Thailand,11.50
Timor,10.84
Togo,12.13
Tokelau,11.34
Tonga,11.01
Trinidad and Tobago,13.78
Tunisia,15.14
Turkey,13.80
Turkmenistan,9.93
Tuvalu,11.69
Uganda,14.40
Ukraine,11.48
United Arab Emirates,11.85
United Kingdom,13.85
United States,15.20
United States Virgin Islands,13.75
Uruguay,13.09
Uzbekistan,10.06
Vanuatu,11.61
Venezuela,12.95
Vietnam,9.18
Yemen,15.47
Zambia,11.89
Zimbabwe,10.70
African Region (WHO),11.99
East Asia & Pacific (WB),10.52
Eastern Mediterranean Region (WHO),14.37
England,13.92
Europe & Central Asia (WB),12.70
European Region (WHO),12.71
G20,12.35
High income (WB),13.60
Latin America & Caribbean (WB),13.68
Low income (WB),12.73
Lower middle income (WB),12.47
Middle East & North Africa (WB),15.02
Middle income (WB),11.74
North America (WB),15.03
Northern Ireland,15.75
OECD Countries,13.50
Region of the Americas (WHO),14.06
Scotland,12.88
South Asia (WB),13.28
South-East Asia Region (WHO),12.75
Sub-Saharan Africa (WB),12.08
Wales,13.15
Western Pacific Region (WHO),10.54
World,12.27
