Country, 2016
Afghanistan,56.29
Albania,18.19
Algeria,39.85
American Samoa,12.38
Andorra,10.26
Angola,31.79
Antigua and Barbuda,18.46
Argentina,13.75
Armenia,32.23
Australia,8.61
Austria,12.60
Azerbaijan,20.21
Bahamas,17.65
Bahrain,69.86
Bangladesh,60.13
Barbados,23.46
Belarus,18.88
Belgium,12.83
Belize,23.07
Benin,38.45
Bermuda,11.66
Bhutan,37.22
Bolivia,21.39
Bosnia and Herzegovina,27.59
Botswana,23.63
Brazil,12.66
Brunei,5.93
Bulgaria,19.28
Burkina Faso,41.54
Burundi,38.65
Cambodia,25.20
Cameroon,73.21
Canada,6.55
Cape Verde,33.39
Central African Republic,56.99
Chad,64.77
Chile,20.88
China,52.21
Colombia,16.58
Comoros,20.48
Congo,45.71
Costa Rica,15.66
Cote d'Ivoire,26.67
Croatia,17.79
Cuba,19.74
Cyprus,16.96
Czechia,16.10
Democratic Republic of Congo,45.50
Denmark,10.10
Djibouti,45.87
Dominica,19.99
Dominican Republic,13.69
Ecuador,14.98
Egypt,88.15
El Salvador,24.74
Equatorial Guinea,54.51
Eritrea,48.67
Estonia,6.82
Eswatini,17.15
Ethiopia,39.25
Fiji,11.06
Finland,5.89
France,11.86
Gabon,43.72
Gambia,32.62
Georgia,21.83
Germany,11.94
Ghana,36.25
Greece,16.33
Greenland,11.57
Grenada,22.89
Guam,11.65
Guatemala,23.80
Guinea,24.78
Guinea-Bissau,29.59
Guyana,22.37
Haiti,15.09
Honduras,21.09
Hungary,15.89
Iceland,6.61
India,89.67
Indonesia,16.38
Iran,38.84
Iraq,63.95
Ireland,8.28
Israel,20.77
Italy,16.49
Jamaica,13.40
Japan,11.62
Jordan,33.18
Kazakhstan,13.08
Kenya,28.58
Kiribati,10.54
Kuwait,60.84
Kyrgyzstan,23.20
Laos,25.80
Latvia,13.45
Lebanon,30.17
Lesotho,28.34
Liberia,17.89
Libya,52.13
Lithuania,11.82
Luxembourg,10.31
Madagascar,22.90
Malawi,23.09
Malaysia,15.75
Maldives,7.97
Mali,38.48
Malta,13.81
Marshall Islands,10.15
Mauritania,46.67
Mauritius,14.35
Mexico,20.71
Micronesia (country),11.13
Moldova,16.36
Mongolia,38.22
Montenegro,20.92
Morocco,32.94
Mozambique,21.47
Myanmar,36.03
Namibia,25.55
Nepal,98.05
Netherlands,12.03
New Zealand,5.99
Nicaragua,17.73
Niger,87.71
Nigeria,71.37
North Korea,31.76
North Macedonia,29.59
Northern Mariana Islands,9.92
Norway,6.96
Oman,41.78
Pakistan,58.63
Palestine,32.74
Panama,11.47
Papua New Guinea,12.62
Paraguay,11.65
Peru,25.54
Philippines,18.23
Poland,20.98
Portugal,8.05
Puerto Rico,8.34
Qatar,88.22
Romania,14.54
Russia,16.22
Rwanda,42.84
Saint Lucia,22.35
Saint Vincent and the Grenadines,22.08
Samoa,11.37
Sao Tome and Principe,28.67
Saudi Arabia,84.47
Senegal,38.69
Serbia,24.78
Seychelles,20.40
Sierra Leone,21.34
Singapore,18.80
Slovakia,17.35
Slovenia,15.91
Solomon Islands,11.83
Somalia,31.75
South Africa,25.14
South Korea,25.10
South Sudan,44.85
Spain,9.70
Sri Lanka,14.03
Sudan,54.15
Suriname,25.32
Sweden,6.11
Switzerland,10.34
Syria,43.70
Tajikistan,43.38
Tanzania,28.44
Thailand,26.26
Timor,20.02
Togo,37.05
Tonga,10.95
Trinidad and Tobago,24.23
Tunisia,38.45
Turkey,44.48
Turkmenistan,21.74
Uganda,51.94
Ukraine,20.62
United Arab Emirates,40.52
United Kingdom,10.50
United States,7.41
United States Virgin Islands,10.26
Uruguay,9.20
Uzbekistan,27.81
Vanuatu,11.59
Venezuela,16.77
Vietnam,30.24
Yemen,50.13
Zambia,27.36
Zimbabwe,21.73
East Asia and Pacific,39.57
Europe and Central Asia,18.01
European Union,13.43
High income,14.53
Latin America and Caribbean,16.70
Low and middle income,51.15
Low income,43.02
Lower middle income,62.17
Middle East and North Africa,55.81
Middle income,52.02
North America,7.32
South Asia,81.98
Sub-Saharan Africa,44.37
Upper middle income,39.01
World,45.17
