Year,alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
2017,1.0,2015.0,2.38,13.5,63.0,16.0,16.5,56.91,54.65
2017,2.1,10702.0,5.0,62.4,79.0,35.6,10.81,18.2,105.09
2017,0.9,14267.0,4.74,47.7,75.7,27.0,13.9,38.88,17.27
2017,1.4,8146.0,3.79,26.0,61.7,16.0,13.12,32.39,24.23
2017,2.9,19201.0,6.09,74.3,76.8,30.3,12.64,13.31,16.1
2017,2.5,10859.0,5.49,64.7,74.9,32.9,10.64,32.53,100.17
2017,4.3,49266.0,7.23,86.5,83.0,36.3,17.49,8.55,3.2
2017,3.9,42177.0,7.2,87.9,81.6,42.1,14.42,12.48,106.61
2017,3.0,16522.0,5.17,79.0,72.2,29.6,9.75,19.93,121.86
2017,0.9,40696.0,7.1,95.9,79.7,30.4,13.93,70.82,1855.85
2017,1.4,3837.0,5.11,19.8,71.8,24.8,11.51,60.85,1242.94
2017,3.7,18113.0,5.82,74.4,74.5,39.2,11.72,18.77,47.83
2017,3.6,39352.0,6.77,87.7,81.4,40.6,13.64,12.89,375.97
2017,0.9,2142.0,4.98,18.7,59.9,17.3,11.63,39.0,102.84
2017,1.8,6521.0,5.67,43.8,67.7,23.0,14.47,21.57,10.56
2017,2.4,10069.0,6.02,64.9,76.9,40.3,10.75,27.75,67.19
2017,2.5,15397.0,3.47,41.4,66.8,22.7,11.37,23.09,4.24
2017,4.3,13952.0,6.45,67.5,74.8,31.2,15.92,12.71,24.95
2017,2.5,17764.0,5.11,63.4,74.8,43.2,10.42,19.15,66.16
2017,0.8,1530.0,4.74,16.8,59.5,16.2,11.72,42.94,72.5
2017,1.7,671.0,3.78,2.7,61.6,15.1,12.81,38.9,434.41
2017,1.2,3425.0,5.0,32.9,70.5,25.0,12.09,25.61,89.68
2017,1.0,2850.0,4.94,23.2,60.8,17.2,11.6,72.79,51.6
2017,4.7,44592.0,7.11,92.7,82.0,39.8,13.53,6.43,4.08
2017,1.4,607.0,3.48,4.0,53.7,14.5,14.46,56.83,8.02
2017,0.8,2066.0,4.25,7.4,52.3,14.8,12.42,66.03,11.98
2017,4.0,21650.0,5.94,82.3,80.4,33.8,14.04,21.04,24.7
2017,1.9,12734.0,5.14,54.3,77.2,36.2,10.64,52.66,150.22
2017,3.0,13358.0,6.35,62.3,76.6,29.3,11.35,16.53,43.58
2017,1.6,1713.0,4.61,8.5,63.6,19.0,11.78,20.55,409.28
2017,1.5,5747.0,5.21,8.6,63.8,18.0,12.78,46.64,15.56
2017,2.4,14471.0,7.0,71.6,79.4,31.0,12.22,15.73,97.8
2017,0.8,3559.0,5.39,34.8,58.5,17.0,10.99,25.89,78.14
2017,3.1,21232.0,5.63,67.1,78.1,42.7,10.86,17.9,74.92
2017,2.3,26445.0,6.14,80.7,81.3,35.7,14.39,17.29,130.79
2017,3.7,29998.0,6.9,78.7,79.0,41.1,10.32,16.07,136.42
2017,1.3,839.0,4.31,8.6,59.4,15.7,13.52,44.91,37.18
2017,4.2,45456.0,7.69,97.1,81.1,40.9,12.7,10.03,143.43
