Country,2017
Afghanistan,2.38
Albania,5.00
Algeria,4.74
Angola,3.79
Argentina,6.09
Armenia,5.49
Australia,7.23
Austria,7.20
Azerbaijan,5.17
Bahrain,7.10
Bangladesh,5.11
Belarus,5.82
Belgium,6.77
Belize,5.96
Benin,4.98
Bhutan,5.08
Bolivia,5.67
Bosnia and Herzegovina,6.02
Botswana,3.47
Brazil,6.45
Bulgaria,5.11
Burkina Faso,4.74
Burundi,3.78
Cambodia,5.00
Cameroon,4.94
Canada,7.11
Central African Republic,3.48
Chad,4.25
Chile,5.94
China,5.14
Colombia,6.35
Comoros,4.61
Congo,5.21
Costa Rica,7.00
Cote d'Ivoire,5.39
Croatia,5.63
Cuba,
Cyprus,6.14
Czechia,6.90
Democratic Republic of Congo,4.31
Denmark,7.69
Djibouti,
Dominican Republic,6.00
Ecuador,5.81
Egypt,4.33
El Salvador,6.45
Estonia,6.03
Eswatini,4.40
Ethiopia,4.10
Finland,7.78
France,6.69
Gabon,4.91
Gambia,5.16
Georgia,4.89
Germany,7.04
Ghana,4.97
Greece,5.95
Guatemala,6.26
Guinea,4.77
Guyana,
Haiti,3.61
Honduras,5.93
Hong Kong,5.66
Hungary,6.00
Iceland,7.53
India,3.25
Indonesia,5.35
Iran,5.01
Iraq,4.79
Ireland,7.25
Israel,7.33
Italy,6.45
Jamaica,6.31
Japan,5.91
Jordan,4.45
Kazakhstan,6.27
Kenya,4.62
Kosovo,6.43
Kuwait,6.11
Kyrgyzstan,5.69
Laos,5.20
Latvia,5.97
Lebanon,4.02
Lesotho,3.51
Liberia,5.12
Libya,5.33
Lithuania,6.06
Luxembourg,7.40
Madagascar,4.34
Malawi,3.87
Malaysia,5.43
Maldives,5.20
Mali,4.99
Malta,6.73
Mauritania,4.15
Mauritius,6.24
Mexico,6.43
Moldova,5.80
Mongolia,5.56
Montenegro,5.39
Morocco,5.06
Mozambique,4.93
Myanmar,4.43
Namibia,4.44
Nepal,5.45
Netherlands,7.43
New Zealand,7.21
Nicaragua,6.11
Niger,5.00
Nigeria,4.36
North Macedonia,5.02
Norway,7.44
Oman,
Pakistan,4.44
Palestine,4.48
Panama,6.09
Paraguay,5.65
Peru,6.00
Philippines,6.27
Poland,6.24
Portugal,6.10
Qatar,6.37
Romania,6.13
Russia,5.44
Rwanda,3.27
Saudi Arabia,6.56
Senegal,5.49
Serbia,6.24
Sierra Leone,3.45
Singapore,6.38
Slovakia,6.24
Slovenia,6.67
Somalia,4.67
South Africa,5.03
South Korea,5.90
South Sudan,2.82
Spain,6.46
Sri Lanka,4.21
Sudan,4.14
Suriname,
Sweden,7.40
Switzerland,7.69
Syria,3.46
Taiwan,6.54
Tajikistan,5.46
Tanzania,3.64
Thailand,6.02
Togo,4.18
Trinidad and Tobago,6.19
Tunisia,4.32
Turkey,4.87
Turkmenistan,5.47
Uganda,4.95
Ukraine,4.70
United Arab Emirates,6.71
United Kingdom,7.16
United States,6.94
Uruguay,6.60
Uzbekistan,6.15
Venezuela,5.08
Vietnam,5.47
Yemen,4.20
Zambia,3.31
Zimbabwe,2.69
Northern Cyprus,5.47
Somaliland region,
