Country, 2017
Afghanistan,63.0
Albania,79.0
Algeria,75.7
American Samoa,72.5
Andorra,83.0
Angola,61.7
Anguilla,75.9
Antigua and Barbuda,78.3
Argentina,76.8
Armenia,74.9
Aruba,75.9
Australia,83.0
Austria,81.6
Azerbaijan,72.2
Bahamas,73.6
Bahrain,79.7
Bangladesh,71.8
Barbados,76.9
Belarus,74.5
Belgium,81.4
Belize,73.6
Benin,59.9
Bermuda,82.4
Bhutan,70.8
Bolivia,67.7
Bonaire Sint Eustatius and Saba,77.3
Bosnia and Herzegovina,76.9
Botswana,66.8
Brazil,74.8
British Virgin Islands,74.8
Brunei,74.7
Bulgaria,74.8
Burkina Faso,59.5
Burundi,61.6
Cambodia,70.5
Cameroon,60.8
Canada,82.0
Cape Verde,76.6
Cayman Islands,74.9
Central African Republic,53.7
Chad,52.3
Chile,80.4
China,77.2
Colombia,76.6
Comoros,63.6
Congo,63.8
Cook Islands,74.4
Costa Rica,79.4
Cote d'Ivoire,58.5
Croatia,78.1
Cuba,77.5
Curacao,76.1
Cyprus,81.3
Czechia,79.0
Democratic Republic of Congo,59.4
Denmark,81.1
Djibouti,62.8
Dominica,67.5
Dominican Republic,73.1
Ecuador,77.0
Egypt,71.3
El Salvador,72.3
Equatorial Guinea,60.8
Eritrea,66.6
Estonia,78.0
Eswatini,57.9
Ethiopia,64.8
Faeroe Islands,78.0
Falkland Islands,78.5
Fiji,67.8
Finland,81.5
France,82.5
French Guiana,76.8
French Polynesia,82.6
Gabon,66.2
Gambia,63.0
Georgia,73.6
Germany,80.9
Ghana,64.0
Gibraltar,81.8
Greece,80.9
Greenland,72.6
Grenada,74.8
Guadeloupe,82.5
Guam,77.2
Guatemala,72.6
Guernsey,82.1
Guinea,59.1
Guinea-Bissau,60.1
Guyana,68.7
Haiti,63.9
Honduras,72.7
Hong Kong,84.9
Hungary,76.0
Iceland,82.5
India,70.5
Indonesia,69.9
Iran,76.0
Iraq,70.4
Ireland,81.9
Isle of Man,80.5
Israel,82.7
Italy,82.7
Jamaica,71.9
Japan,84.2
Jersey,80.9
Jordan,75.5
Kazakhstan,71.4
Kenya,62.5
Kiribati,66.6
Kosovo,78.8
Kuwait,79.8
Kyrgyzstan,70.6
Laos,67.4
Latvia,74.8
Lebanon,79.7
Lesotho,53.1
Liberia,60.6
Libya,72.5
Liechtenstein,83.9
Lithuania,75.4
Luxembourg,81.7
Macao,84.6
Madagascar,65.1
Malawi,63.0
Malaysia,75.5
Maldives,79.9
Mali,59.1
Malta,83.6
Marshall Islands,64.3
Martinique,82.3
Mauritania,65.1
Mauritius,74.9
Mayotte,77.3
Mexico,74.1
Micronesia (country),71.5
Moldova,70.5
Monaco,85.7
Mongolia,70.2
Montenegro,76.9
Montserrat,75.2
Morocco,73.7
Mozambique,59.8
Myanmar,65.8
Namibia,62.3
Nauru,63.0
Nepal,68.9
Netherlands,81.7
New Caledonia,79.5
New Zealand,82.2
Nicaragua,73.6
Niger,62.2
Nigeria,52.3
Niue,70.5
North Korea,73.0
North Macedonia,76.5
Northern Mariana Islands,76.8
Norway,82.6
Oman,77.9
Pakistan,66.3
Palau,64.1
Palestine,74.8
Panama,77.8
Papua New Guinea,65.1
Paraguay,73.6
Peru,75.9
Philippines,71.5
Poland,77.7
Portugal,81.5
Puerto Rico,79.3
Qatar,80.7
Reunion,81.7
Romania,76.0
Russia,73.4
Rwanda,65.9
Saint Barthelemy,78.5
Saint Helena,76.3
Saint Kitts and Nevis,71.8
Saint Lucia,73.1
Saint Martin (French part),78.6
Saint Pierre and Miquelon,77.1
Saint Vincent and the Grenadines,74.3
Samoa,72.6
San Marino,82.9
Sao Tome and Principe,68.3
Saudi Arabia,77.2
Senegal,67.8
Serbia,76.2
Seychelles,73.8
Sierra Leone,58.7
Singapore,83.2
Sint Maarten (Dutch part),75.0
Slovakia,77.2
Slovenia,81.1
Solomon Islands,70.0
Somalia,55.7
South Africa,65.4
South Korea,83.3
South Sudan,55.3
Spain,83.0
Sri Lanka,75.4
Sudan,65.4
Suriname,72.4
Sweden,82.4
Switzerland,83.4
Syria,68.5
Taiwan,80.1
Tajikistan,69.9
Tanzania,66.0
Thailand,78.4
Timor,67.7
Togo,60.2
Tokelau,74.9
Tonga,70.7
Trinidad and Tobago,74.2
Tunisia,75.8
Turkey,77.1
Turkmenistan,68.9
Turks and Caicos Islands,76.7
Tuvalu,64.1
Uganda,62.1
Ukraine,74.7
United Arab Emirates,79.5
United Kingdom,81.2
United States,78.8
United States Virgin Islands,74.8
Uruguay,77.6
Uzbekistan,71.0
Vanuatu,69.7
Vatican,82.7
Venezuela,71.9
Vietnam,74.0
Wallis and Futuna,77.5
Western Sahara,69.9
Yemen,66.0
Zambia,62.1
Zimbabwe,60.7
Africa,62.0
Americas,76.4
Asia,73.7
Europe,78.7
High-income countries,80.8
Land-locked Developing Countries (LLDC),64.3
Latin America and the Caribbean,74.8
Least developed countries,64.2
Less developed regions,70.8
"Less developed regions, excluding China",68.9
"Less developed regions, excluding least developed countries",72.1
Low-income countries,62.5
Lower-middle-income countries,68.4
More developed regions,79.4
Northern America,79.1
Oceania,78.5
Small Island Developing States (SIDS),72.1
Upper-middle-income countries,75.9
World,72.3
