Country, 2017
Afghanistan,16.00
Albania,35.60
Algeria,27.00
American Samoa,24.70
Andorra,40.80
Angola,16.00
Anguilla,34.60
Antigua and Barbuda,32.90
Argentina,30.30
Armenia,32.90
Aruba,39.80
Australia,36.30
Austria,42.10
Azerbaijan,29.60
Bahamas,31.00
Bahrain,30.40
Bangladesh,24.80
Barbados,37.80
Belarus,39.20
Belgium,40.60
Belize,23.60
Benin,17.30
Bermuda,43.20
Bhutan,25.90
Bolivia,23.00
Bonaire Sint Eustatius and Saba,38.30
Bosnia and Herzegovina,40.30
Botswana,22.70
Brazil,31.20
British Virgin Islands,36.20
Brunei,29.80
Bulgaria,43.20
Burkina Faso,16.20
Burundi,15.10
Cambodia,25.00
Cameroon,17.20
Canada,39.80
Cape Verde,24.60
Cayman Islands,35.90
Central African Republic,14.50
Chad,14.80
Chile,33.80
China,36.20
Colombia,29.30
Comoros,19.00
Congo,18.00
Cook Islands,31.50
Costa Rica,31.00
Cote d'Ivoire,17.00
Croatia,42.70
Cuba,40.30
Curacao,37.70
Cyprus,35.70
Czechia,41.10
Democratic Republic of Congo,15.70
Denmark,40.90
Djibouti,22.70
Dominica,30.90
Dominican Republic,25.90
Ecuador,26.10
Egypt,23.40
El Salvador,24.70
Equatorial Guinea,20.80
Eritrea,17.50
Estonia,40.90
Eswatini,20.40
Ethiopia,17.70
Faeroe Islands,38.20
Falkland Islands,38.30
Fiji,25.80
Finland,41.60
France,40.90
French Guiana,23.60
French Polynesia,31.00
Gabon,21.40
Gambia,16.30
Georgia,36.10
Germany,45.00
Ghana,19.90
Gibraltar,40.30
Greece,43.20
Greenland,33.30
Grenada,29.30
Guadeloupe,41.20
Guam,29.20
Guatemala,20.70
Guernsey,43.10
Guinea,17.10
Guinea-Bissau,17.60
Guyana,24.30
Haiti,22.10
Honduras,22.00
Hong Kong,42.80
Hungary,41.40
Iceland,35.30
India,26.20
Indonesia,28.50
Iran,29.80
Iraq,18.90
Ireland,36.10
Isle of Man,44.20
Israel,28.90
Italy,45.20
Jamaica,28.80
Japan,46.70
Jersey,40.00
Jordan,22.00
Kazakhstan,29.00
Kenya,18.30
Kiribati,21.20
Kosovo,28.40
Kuwait,34.50
Kyrgyzstan,23.40
Laos,22.60
Latvia,42.60
Lebanon,28.80
Lesotho,21.40
Liberia,17.50
Libya,25.40
Liechtenstein,42.70
Lithuania,42.70
Luxembourg,38.40
Macao,36.40
Madagascar,18.30
Malawi,16.00
Malaysia,28.10
Maldives,28.00
Mali,14.80
Malta,39.10
Marshall Islands,22.20
Martinique,44.10
Mauritania,17.10
Mauritius,35.10
Mayotte,16.70
Mexico,27.50
Micronesia (country),22.10
Moldova,35.10
Monaco,53.80
Mongolia,26.20
Montenegro,37.10
Montserrat,40.50
Morocco,27.30
Mozambique,16.40
Myanmar,27.90
Namibia,20.80
Nauru,20.10
Nepal,22.10
Netherlands,41.50
New Caledonia,31.60
New Zealand,36.10
Nicaragua,23.20
Niger,14.40
Nigeria,16.70
Niue,35.60
North Korea,34.60
North Macedonia,36.80
Northern Mariana Islands,36.80
Norway,38.40
Oman,28.40
Pakistan,19.50
Palau,35.30
Palestine,18.60
Panama,27.80
Papua New Guinea,21.00
Paraguay,24.40
Peru,27.20
Philippines,23.50
Poland,39.40
Portugal,43.60
Puerto Rico,41.80
Qatar,30.50
Reunion,33.20
Romania,40.60
Russia,37.90
Rwanda,18.40
Saint Helena,47.00
Saint Kitts and Nevis,32.20
Saint Lucia,31.50
Saint Martin (French part),34.20
Saint Pierre and Miquelon,43.40
Saint Vincent and the Grenadines,31.70
Samoa,20.10
San Marino,44.30
Sao Tome and Principe,17.80
Saudi Arabia,28.80
Senegal,17.30
Serbia,42.10
Seychelles,31.40
Sierra Leone,18.00
Singapore,39.70
Sint Maarten (Dutch part),43.60
Slovakia,39.00
Slovenia,42.10
Solomon Islands,18.80
Somalia,15.00
South Africa,26.00
South Korea,41.00
South Sudan,15.70
Spain,42.40
Sri Lanka,31.40
Sudan,18.00
Suriname,27.20
Sweden,39.70
Switzerland,41.40
Syria,18.40
Taiwan,39.10
Tajikistan,20.90
Tanzania,16.40
Thailand,37.40
Timor,19.20
Togo,18.30
Tokelau,27.00
Tonga,20.90
Trinidad and Tobago,33.60
Tunisia,30.30
Turkey,29.40
Turkmenistan,24.90
Turks and Caicos Islands,36.00
Tuvalu,24.40
Uganda,15.00
Ukraine,39.60
United Arab Emirates,30.30
United Kingdom,39.10
United States,36.90
United States Virgin Islands,41.80
Uruguay,34.30
Uzbekistan,25.70
Vanuatu,19.50
Vatican,56.90
Venezuela,26.80
Vietnam,30.50
Wallis and Futuna,33.80
Western Sahara,29.40
Yemen,18.00
Zambia,16.30
Zimbabwe,17.30
Africa (UN),18.40
Asia (UN),29.80
Europe (UN),40.80
High-income countries,39.70
Land-locked Developing Countries (LLDC),18.70
Latin America and the Caribbean (UN),28.90
Least developed countries,18.70
Less developed regions,27.10
"Less developed regions, excluding China",24.50
"Less developed regions, excluding least developed countries",28.70
Low-income countries,17.10
Lower-middle-income countries,24.70
More developed regions,40.40
Northern America (UN),37.20
Oceania (UN),31.40
Saint Barthlemy,37.50
Small Island Developing States (SIDS),28.30
Upper-middle-income countries,33.60
World,28.90
