Country,2017
Afghanistan,16.50
Albania,10.81
Algeria,13.90
American Samoa,10.63
Andorra,14.02
Angola,13.12
Antigua and Barbuda,13.43
Argentina,12.64
Armenia,10.64
Australia,17.49
Austria,14.42
Azerbaijan,9.75
Bahamas,13.42
Bahrain,13.93
Bangladesh,11.51
Barbados,13.61
Belarus,11.72
Belgium,13.64
Belize,13.69
Benin,11.63
Bermuda,13.67
Bhutan,11.66
Bolivia,14.47
Bosnia and Herzegovina,10.75
Botswana,11.37
Brazil,15.92
Brunei,9.53
Bulgaria,10.42
Burkina Faso,11.72
Burundi,12.81
Cambodia,12.09
Cameroon,11.60
Canada,13.53
Cape Verde,11.62
Central African Republic,14.46
Chad,12.42
Chile,14.04
China,10.64
Colombia,11.35
Comoros,11.78
Congo,12.78
Cook Islands,11.02
Costa Rica,12.22
Cote d'Ivoire,10.99
Croatia,10.86
Cuba,14.30
Cyprus,14.39
Czechia,10.32
Democratic Republic of Congo,13.52
Denmark,12.70
Djibouti,11.58
Dominica,13.52
Dominican Republic,14.34
Ecuador,13.83
Egypt,13.90
El Salvador,12.59
Equatorial Guinea,12.90
Eritrea,12.56
Estonia,11.27
Eswatini,11.54
Ethiopia,12.28
Fiji,11.08
Finland,13.54
France,15.11
Gabon,12.89
Gambia,12.68
Georgia,10.38
Germany,13.77
Ghana,11.18
Greece,15.43
Greenland,16.27
Grenada,13.71
Guam,11.01
Guatemala,12.71
Guinea,11.68
Guinea-Bissau,11.56
Guyana,15.35
Haiti,14.79
Honduras,12.22
Hungary,10.52
Iceland,13.28
India,13.57
Indonesia,10.23
Iran,18.22
Iraq,14.24
Ireland,16.23
Israel,13.37
Italy,13.93
Jamaica,13.33
Japan,9.70
Jordan,14.09
Kazakhstan,9.96
Kenya,11.99
Kiribati,11.85
Kuwait,13.02
Kyrgyzstan,10.66
Laos,11.61
Latvia,11.68
Lebanon,16.13
Lesotho,12.79
Liberia,12.61
Libya,14.62
Lithuania,12.35
Luxembourg,13.52
Madagascar,12.70
Malawi,12.15
Malaysia,11.52
Maldives,10.63
Mali,10.36
Malta,14.20
Marshall Islands,11.41
Mauritania,10.28
Mauritius,11.42
Mexico,11.50
Micronesia (country),11.47
Moldova,12.02
Monaco,14.55
Mongolia,10.72
Montenegro,10.82
Morocco,15.04
Mozambique,13.09
Myanmar,10.60
Namibia,10.74
Nauru,11.29
Nepal,13.37
Netherlands,15.02
New Zealand,17.14
Nicaragua,12.56
Niger,11.44
Nigeria,10.58
Niue,11.19
North Korea,11.13
North Macedonia,10.57
Northern Mariana Islands,10.66
Norway,14.84
Oman,13.07
Pakistan,12.44
Palau,11.07
Palestine,17.20
Panama,11.48
Papua New Guinea,11.66
Paraguay,15.02
Peru,13.13
Philippines,11.50
Poland,9.62
Portugal,16.80
Puerto Rico,13.43
Qatar,12.73
Romania,10.39
Russia,10.54
Rwanda,12.72
Saint Kitts and Nevis,14.27
Saint Lucia,13.76
Saint Vincent and the Grenadines,13.78
Samoa,11.07
San Marino,14.50
Sao Tome and Principe,10.60
Saudi Arabia,13.02
Senegal,10.78
Serbia,10.65
Seychelles,10.27
Sierra Leone,12.17
Slovakia,10.43
Slovenia,10.76
Solomon Islands,11.89
Somalia,14.08
South Africa,11.65
South Sudan,13.04
Spain,17.03
Sri Lanka,10.90
Sudan,15.33
Suriname,14.86
Sweden,14.05
Switzerland,15.49
Syria,15.27
Taiwan,9.79
Tajikistan,10.47
Tanzania,12.28
Thailand,11.48
Timor,10.86
Togo,12.12
Tokelau,11.32
Tonga,11.00
Trinidad and Tobago,13.78
Tunisia,15.11
Turkey,13.72
Turkmenistan,9.91
Tuvalu,11.66
Uganda,14.40
Ukraine,11.49
United Arab Emirates,11.84
United Kingdom,13.79
United States,15.22
United States Virgin Islands,13.74
Uruguay,13.08
Uzbekistan,10.03
Vanuatu,11.60
Venezuela,12.96
Vietnam,9.15
Yemen,15.60
Zambia,11.90
Zimbabwe,10.69
African Region (WHO),11.98
East Asia & Pacific (WB),10.54
Eastern Mediterranean Region (WHO),14.33
England,13.85
Europe & Central Asia (WB),12.68
European Region (WHO),12.69
G20,12.36
High income (WB),13.60
Latin America & Caribbean (WB),13.71
Low income (WB),12.72
Lower middle income (WB),12.45
Middle East & North Africa (WB),14.97
Middle income (WB),11.78
North America (WB),15.05
Northern Ireland,15.66
OECD Countries,13.49
Region of the Americas (WHO),14.09
Scotland,12.86
South Asia (WB),13.26
South-East Asia Region (WHO),12.73
Sub-Saharan Africa (WB),12.08
Wales,13.13
Western Pacific Region (WHO),10.58
World,12.28
