Country, 2017
Afghanistan,56.91
Albania,18.20
Algeria,38.88
American Samoa,12.47
Andorra,10.31
Angola,32.39
Antigua and Barbuda,18.62
Argentina,13.31
Armenia,32.53
Australia,8.55
Austria,12.48
Azerbaijan,19.93
Bahamas,17.37
Bahrain,70.82
Bangladesh,60.85
Barbados,23.08
Belarus,18.77
Belgium,12.89
Belize,23.01
Benin,39.00
Bermuda,11.65
Bhutan,37.93
Bolivia,21.57
Bosnia and Herzegovina,27.75
Botswana,23.09
Brazil,12.71
Brunei,5.90
Bulgaria,19.15
Burkina Faso,42.94
Burundi,38.90
Cambodia,25.61
Cameroon,72.79
Canada,6.43
Cape Verde,34.78
Central African Republic,56.83
Chad,66.03
Chile,21.04
China,52.66
Colombia,16.53
Comoros,20.55
Congo,46.64
Costa Rica,15.73
Cote d'Ivoire,25.89
Croatia,17.90
Cuba,19.71
Cyprus,17.29
Czechia,16.07
Democratic Republic of Congo,44.91
Denmark,10.03
Djibouti,45.55
Dominica,19.49
Dominican Republic,13.73
Ecuador,14.89
Egypt,87.00
El Salvador,24.47
Equatorial Guinea,53.24
Eritrea,48.03
Estonia,6.73
Eswatini,17.17
Ethiopia,38.98
Fiji,10.84
Finland,5.86
France,11.81
Gabon,44.39
Gambia,33.98
Georgia,22.20
Germany,12.03
Ghana,34.71
Greece,16.22
Greenland,11.60
Grenada,22.72
Guam,11.63
Guatemala,24.07
Guinea,26.06
Guinea-Bissau,29.77
Guyana,22.38
Haiti,15.02
Honduras,20.63
Hungary,15.93
Iceland,6.48
India,90.87
Indonesia,16.50
Iran,38.98
Iraq,61.64
Ireland,8.21
Israel,21.38
Italy,16.75
Jamaica,13.40
Japan,11.70
Jordan,33.01
Kazakhstan,13.82
Kenya,28.58
Kiribati,10.64
Kuwait,60.75
Kyrgyzstan,22.74
Laos,25.11
Latvia,13.43
Lebanon,30.62
Lesotho,28.03
Liberia,17.98
Libya,54.25
Lithuania,11.85
Luxembourg,10.36
Madagascar,22.54
Malawi,23.57
Malaysia,16.04
Maldives,7.80
Mali,38.53
Malta,13.91
Marshall Islands,10.24
Mauritania,47.42
Mauritius,14.46
Mexico,20.92
Micronesia (country),11.28
Moldova,16.25
Mongolia,40.11
Montenegro,20.78
Morocco,32.59
Mozambique,21.30
Myanmar,35.56
Namibia,25.36
Nepal,99.73
Netherlands,12.03
New Zealand,5.96
Nicaragua,17.61
Niger,94.05
Nigeria,71.80
North Korea,32.01
North Macedonia,29.73
Northern Mariana Islands,9.89
Norway,6.96
Oman,41.12
Pakistan,58.28
Palestine,33.23
Panama,11.40
Papua New Guinea,12.29
Paraguay,11.91
Peru,24.79
Philippines,18.07
Poland,20.88
Portugal,8.16
Puerto Rico,8.35
Qatar,91.19
Romania,14.61
Russia,16.16
Rwanda,43.21
Saint Lucia,22.40
Saint Vincent and the Grenadines,22.20
Samoa,11.55
Sao Tome and Principe,28.54
Saudi Arabia,87.95
Senegal,40.70
Serbia,24.73
Seychelles,20.18
Sierra Leone,21.63
Singapore,19.08
Slovakia,17.56
Slovenia,16.02
Solomon Islands,11.88
Somalia,32.03
South Africa,25.10
South Korea,25.04
South Sudan,45.58
Spain,9.70
Sri Lanka,11.10
Sudan,55.37
Suriname,24.78
Sweden,6.18
Switzerland,10.30
Syria,43.76
Tajikistan,46.15
Tanzania,29.08
Thailand,26.26
Timor,19.26
Togo,35.73
Tonga,10.79
Trinidad and Tobago,24.11
Tunisia,37.66
Turkey,44.31
Turkmenistan,21.77
Uganda,50.49
Ukraine,20.31
United Arab Emirates,40.92
United Kingdom,10.47
United States,7.41
United States Virgin Islands,10.27
Uruguay,9.27
Uzbekistan,28.46
Vanuatu,11.65
Venezuela,17.01
Vietnam,29.63
Yemen,50.46
Zambia,27.44
Zimbabwe,22.25
East Asia and Pacific,39.81
Europe and Central Asia,18.08
European Union,13.47
High income,14.69
Latin America and Caribbean,16.71
Low and middle income,51.51
Low income,43.31
Lower middle income,62.62
Middle East and North Africa,55.67
Middle income,52.40
North America,7.31
South Asia,82.87
Sub-Saharan Africa,44.61
Upper middle income,39.23
World,45.54
