Year,Country,alcoholdrug,demography,gdp,happiness,internet,landarea,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity,suicides
2017,Afghanistan,1.0,35643420.0,2015.0,2.38,13.5,652860.0,63.0,16.0,16.5,56.91,54.65,1473.0
2017,Albania,2.1,2879361.0,10702.0,5.0,62.4,27400.0,79.0,35.6,10.81,18.2,105.09,135.0
2017,Algeria,0.9,41136548.0,14267.0,4.74,47.7,2381741.0,75.7,27.0,13.9,38.88,17.27,1018.0
2017,American Samoa,1.4,49486.0,,,,200.0,72.5,24.7,10.63,12.47,247.43,
2017,Andorra,3.3,73853.0,,,91.6,470.0,83.0,40.8,14.02,10.31,157.13,
2017,Angola,1.4,30208634.0,8146.0,3.79,26.0,1246700.0,61.7,16.0,13.12,32.39,24.23,1794.0
2017,Antigua and Barbuda,2.8,91133.0,,,73.0,440.0,78.3,32.9,13.43,18.62,207.12,0.0
2017,Argentina,2.9,44054616.0,19201.0,6.09,74.3,2736690.0,76.8,30.3,12.64,13.31,16.1,3894.0
2017,Armenia,2.5,2851929.0,10859.0,5.49,64.7,28470.0,74.9,32.9,10.64,32.53,100.17,88.0
2017,Australia,4.3,24590336.0,49266.0,7.23,86.5,7692020.0,83.0,36.3,17.49,8.55,3.2,3229.0
2017,Austria,3.9,8797497.0,42177.0,7.2,87.9,82520.0,81.6,42.1,14.42,12.48,106.61,1354.0
2017,Azerbaijan,3.0,10071569.0,16522.0,5.17,79.0,82654.0,72.2,29.6,9.75,19.93,121.86,392.0
2017,Bahamas,3.0,399027.0,,,80.6,10010.0,73.6,31.0,13.42,17.37,39.86,13.0
2017,Bahrain,0.9,1456844.0,40696.0,7.1,95.9,780.0,79.7,30.4,13.93,70.82,1855.85,121.0
2017,Bangladesh,1.4,161793970.0,3837.0,5.11,19.8,130170.0,71.8,24.8,11.51,60.85,1242.94,5559.0
2017,Barbados,2.5,279199.0,12061.0,,81.8,430.0,76.9,37.8,13.61,23.08,649.3,2.0
2017,Belarus,3.7,9707874.0,18113.0,5.82,74.4,202980.0,74.5,39.2,11.72,18.77,47.83,2199.0
2017,Belgium,3.6,11384491.0,39352.0,6.77,87.7,30280.0,81.4,40.6,13.64,12.89,375.97,2159.0
2017,Belize,2.5,374702.0,,5.96,47.1,22810.0,73.6,23.6,13.69,23.01,16.43,26.0
2017,Benin,0.9,11596786.0,2142.0,4.98,18.7,112760.0,59.9,17.3,11.63,39.0,102.84,889.0
2017,Bermuda,2.2,63295.0,,,98.4,54.0,82.4,43.2,13.67,11.65,1172.13,
2017,Bhutan,3.0,756130.0,,5.08,46.2,38140.0,70.8,25.9,11.66,37.93,19.83,34.0
2017,Bolivia,1.8,11435535.0,6521.0,5.67,43.8,1083300.0,67.7,23.0,14.47,21.57,10.56,720.0
2017,Bosnia and Herzegovina,2.4,3440025.0,10069.0,6.02,64.9,51200.0,76.9,40.3,10.75,27.75,67.19,353.0
2017,Botswana,2.5,2401848.0,15397.0,3.47,41.4,566730.0,66.8,22.7,11.37,23.09,4.24,384.0
2017,Brazil,4.3,208504960.0,13952.0,6.45,67.5,8358140.0,74.8,31.2,15.92,12.71,24.95,13666.0
2017,Brunei,1.8,430290.0,,,94.9,5270.0,74.7,29.8,9.53,5.9,81.65,14.0
2017,Bulgaria,2.5,7182430.0,17764.0,5.11,63.4,108560.0,74.8,43.2,10.42,19.15,66.16,731.0
2017,Burkina Faso,0.8,19835860.0,1530.0,4.74,16.8,273600.0,59.5,16.2,11.72,42.94,72.5,1478.0
2017,Burundi,1.7,11155592.0,671.0,3.78,2.7,25680.0,61.6,15.1,12.81,38.9,434.41,689.0
2017,Cambodia,1.2,15830694.0,3425.0,5.0,32.9,176520.0,70.5,25.0,12.09,25.61,89.68,794.0
2017,Cameroon,1.0,24393182.0,2850.0,4.94,23.2,472710.0,60.8,17.2,11.6,72.79,51.6,2207.0
2017,Canada,4.7,36554344.0,44592.0,7.11,92.7,8965590.0,82.0,39.8,13.53,6.43,4.08,4792.0
2017,Cape Verde,1.0,564959.0,6577.0,,57.2,4030.0,76.6,24.6,11.62,34.78,140.19,76.0
2017,Central African Republic,1.4,4996741.0,607.0,3.48,4.0,622980.0,53.7,14.5,14.46,56.83,8.02,659.0
2017,Chad,0.8,15085893.0,2066.0,4.25,7.4,1259200.0,52.3,14.8,12.42,66.03,11.98,1010.0
2017,Chile,4.0,18368582.0,21650.0,5.94,82.3,743532.0,80.4,33.8,14.04,21.04,24.7,1712.0
2017,China,1.9,1410276000.0,12734.0,5.14,54.3,9424703.0,77.2,36.2,10.64,52.66,150.22,116320.0
2017,Colombia,3.0,48351668.0,13358.0,6.35,62.3,1109500.0,76.6,29.3,11.35,16.53,43.58,2277.0
2017,Comoros,1.6,761672.0,1713.0,4.61,8.5,1861.0,63.6,19.0,11.78,20.55,409.28,44.0
2017,Congo,1.5,5312347.0,5747.0,5.21,8.6,341500.0,63.8,18.0,12.78,46.64,15.56,336.0
2017,Cook Islands,1.6,17417.0,,,,,74.4,31.5,11.02,,72.57,
2017,Costa Rica,2.4,4993849.0,14471.0,7.0,71.6,51060.0,79.4,31.0,12.22,15.73,97.8,303.0
2017,Cote d'Ivoire,0.8,24848024.0,3559.0,5.39,34.8,318000.0,58.5,17.0,10.99,25.89,78.14,2248.0
2017,Croatia,3.1,4192468.0,21232.0,5.63,67.1,56590.0,78.1,42.7,10.86,17.9,74.92,656.0
2017,Cuba,2.3,11336405.0,8142.0,,57.1,103800.0,77.5,40.3,14.3,19.71,109.21,1649.0
2017,Cyprus,2.3,1208527.0,26445.0,6.14,80.7,9240.0,81.3,35.7,14.39,17.29,130.79,43.0
2017,Czechia,3.7,10531315.0,29998.0,6.9,78.7,77200.0,79.0,41.1,10.32,16.07,136.42,1482.0
2017,Democratic Republic of Congo,1.3,84283270.0,839.0,4.31,8.6,2267050.0,59.4,15.7,13.52,44.91,37.18,5300.0
2017,Denmark,4.2,5737286.0,45456.0,7.69,97.1,40000.0,81.1,40.9,12.7,10.03,143.43,650.0
2017,Djibouti,1.7,1040242.0,3168.0,,55.7,23180.0,62.8,22.7,11.58,45.55,44.88,92.0
2017,Dominica,3.0,70422.0,8842.0,,69.6,750.0,67.5,30.9,13.52,19.49,93.9,
2017,Dominican Republic,1.9,10647247.0,15019.0,6.0,67.6,48310.0,73.1,25.9,14.34,13.73,220.39,598.0
2017,Ecuador,1.7,16696947.0,10637.0,5.81,55.8,248360.0,77.0,26.1,13.83,14.89,67.23,1545.0
2017,Egypt,0.7,101789384.0,11620.0,4.33,45.0,995450.0,71.3,23.4,13.9,87.0,102.25,2874.0
2017,El Salvador,3.9,6266661.0,8428.0,6.45,33.8,20720.0,72.3,24.7,12.59,24.47,302.45,391.0
2017,Equatorial Guinea,1.6,1450703.0,31048.0,,26.2,28050.0,60.8,20.8,12.9,53.24,51.72,98.0
2017,Eritrea,2.0,3396933.0,,,1.3,101000.0,66.6,17.5,12.56,48.03,28.06,387.0
2017,Estonia,3.6,1317550.0,26254.0,6.03,88.1,43470.0,78.0,40.9,11.27,6.73,30.82,247.0
2017,Eswatini,2.8,1151397.0,7963.0,4.4,30.3,17200.0,57.9,20.4,11.54,17.17,66.94,342.0
2017,Ethiopia,2.9,108197944.0,1753.0,4.1,18.6,1129300.38,64.8,17.7,12.28,38.98,95.87,5744.0
2017,Fiji,1.3,919022.0,,,65.8,18270.0,67.8,25.8,11.08,10.84,50.3,82.0
2017,Finland,3.5,5508146.0,38367.0,7.78,87.5,303920.0,81.5,41.6,13.54,5.86,18.12,878.0
2017,France,3.4,64144092.0,37895.0,6.69,80.5,547557.0,82.5,40.9,15.11,11.81,117.15,9480.0
2017,Gabon,1.6,2140225.0,17963.0,4.91,50.3,257670.0,66.2,21.4,12.89,44.39,8.31,182.0
2017,Gambia,0.8,2381189.0,1819.0,5.16,25.1,10120.0,63.0,16.3,12.68,33.98,235.3,109.0
2017,Georgia,2.7,3771904.0,11431.0,4.89,59.7,69490.0,73.6,36.1,10.38,22.2,54.28,386.0
2017,Germany,3.2,82624370.0,45620.0,7.04,84.4,349380.0,80.9,45.0,13.77,12.03,236.48,10395.0
2017,Ghana,1.1,30222266.0,4104.0,4.97,37.9,227540.0,64.0,19.9,11.18,34.71,132.83,2026.0
2017,Greece,2.3,10692230.0,22959.0,5.95,69.9,128900.0,80.9,43.2,15.43,16.22,82.95,540.0
2017,Greenland,5.6,55951.0,,,69.5,410450.0,72.6,33.3,16.27,11.6,0.14,
2017,Grenada,2.4,120934.0,,,54.2,340.0,74.8,29.3,13.71,22.72,355.69,1.0
2017,Guam,1.6,168619.0,,,80.5,540.0,77.2,29.2,11.01,11.63,312.26,
2017,Guatemala,3.7,16578718.0,7308.0,6.26,37.9,107160.0,72.6,20.7,12.71,24.07,154.71,950.0
2017,Guinea,0.8,12240791.0,1563.0,4.77,18.7,245720.0,59.1,17.1,11.68,26.06,49.82,840.0
2017,Guinea-Bissau,0.8,1879835.0,1483.0,,14.8,28120.0,60.1,17.6,11.56,29.77,66.85,133.0
2017,Guyana,2.6,763265.0,,,37.3,196850.0,68.7,24.3,15.35,22.38,3.88,298.0
2017,Haiti,2.1,10863546.0,1726.0,3.61,27.2,27560.0,63.9,22.1,14.79,15.02,394.18,1067.0
2017,Honduras,2.7,9626845.0,4941.0,5.93,31.7,111890.0,72.7,22.0,12.22,20.63,86.04,195.0
2017,Hungary,3.0,9788940.0,24350.0,6.0,76.8,91260.0,76.0,41.4,10.52,15.93,107.26,1699.0
2017,Iceland,3.3,343641.0,42978.0,7.53,98.3,100830.0,82.5,35.3,13.28,6.48,3.41,41.0
2017,India,1.7,1354195700.0,6449.0,3.25,18.2,2973190.0,70.5,26.2,13.57,90.87,455.47,161154.0
2017,Indonesia,1.0,264498850.0,11365.0,5.35,32.3,1877519.0,69.9,28.5,10.23,16.5,140.88,6367.0
2017,Iran,1.1,84505080.0,17687.0,5.01,64.0,1628760.0,76.0,29.8,18.22,38.98,52.08,4867.0
2017,Iraq,0.8,39621156.0,13211.0,4.79,41.9,434128.0,70.4,18.9,14.24,61.64,91.27,1479.0
2017,Ireland,4.8,4771860.0,60544.0,7.25,84.1,68890.0,81.9,36.1,16.23,8.21,69.27,475.0
2017,Israel,1.8,8309256.0,32339.0,7.33,81.6,21640.0,82.7,28.9,13.37,21.38,383.98,424.0
2017,Italy,2.6,60004024.0,34027.0,6.45,63.1,297730.0,82.7,45.2,13.93,16.75,202.91,4278.0
2017,Jamaica,2.1,2808388.0,7135.0,6.31,55.1,10830.0,71.9,28.8,13.33,13.4,259.32,66.0
